Canonical,RowKey,INF_Label,INF_Value,STA_Label,Sector_Neta
TOTALIZADOR,2022-12-03 14:45:00+00:00,LS Urda,0.39626595,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 15:00:00+00:00,LS Urda,0.43450186,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 15:15:00+00:00,LS Urda,0.4347909,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 15:30:00+00:00,LS Urda,0.39786884,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 15:45:00+00:00,LS Urda,0.3513695,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 16:00:00+00:00,LS Urda,0.3421981,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 16:15:00+00:00,LS Urda,0.33556047,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 16:30:00+00:00,LS Urda,0.33185172,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 16:45:00+00:00,LS Urda,0.35088107,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 17:00:00+00:00,LS Urda,0.36682814,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 17:15:00+00:00,LS Urda,0.23301639,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 17:30:00+00:00,LS Urda,0.22340831,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 17:45:00+00:00,LS Urda,0.24225242,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 18:00:00+00:00,LS Urda,0.23646727,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 18:15:00+00:00,LS Urda,0.23427907,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 18:30:00+00:00,LS Urda,0.3608946,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 18:45:00+00:00,LS Urda,0.4303464,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 19:00:00+00:00,LS Urda,0.396827,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 19:15:00+00:00,LS Urda,0.35974008,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 19:30:00+00:00,LS Urda,0.36213773,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 19:45:00+00:00,LS Urda,0.34172845,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 20:00:00+00:00,LS Urda,0.31721303,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 20:15:00+00:00,LS Urda,0.32652342,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 20:30:00+00:00,LS Urda,0.18851435,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 20:45:00+00:00,LS Urda,0.2329849,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 21:00:00+00:00,LS Urda,0.30342838,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 21:15:00+00:00,LS Urda,0.334894,11000 Carretera Urda,22110000
